,Team,Salary,Player,Position,Season,Playoffs,Team Winning Percentage
1468,Dallas Mavericks,6750000.0,Jerry Stackhouse, SF,2008,Conf First Round,0.622
1469,Cleveland Cavaliers,6703125.0,Eric Snow, PG,2008,Conf Semifinals,0.5489999999999999
1470,Golden State Warriors,6630000.0,Stephen Jackson, SF,2008,Did not make the Playoffs,0.585
1471,Seattle SuperSonics,6500000.0,Luke Ridnour, PG,2008,Did not make the Playoffs,0.244
1472,Seattle SuperSonics,6500000.0,Chris Wilcox, PF,2008,Did not make the Playoffs,0.244
1473,Cleveland Cavaliers,6453416.0,Drew Gooden, PF,2008,Conf Semifinals,0.5489999999999999
1474,Detroit Pistons,6373900.0,Antonio McDyess, PF,2008,Conf Finals,0.72
1475,Orlando Magic,6373900.0,Hedo Turkoglu, SF,2008,Conf Semifinals,0.634
1476,Indiana Pacers,6373900.0,Marquis Daniels, SG,2008,Did not make the Playoffs,0.439
1477,Washington Wizards,6373900.0,Etan Thomas, C,2008,Conf First Round,0.524
1478,Atlanta Hawks,6306182.0,Speedy Claxton, PG,2008,Conf First Round,0.451
1479,Indiana Pacers,6300000.0,Jamaal Tinsley, PG,2008,Did not make the Playoffs,0.439
1480,Indiana Pacers,5500000.0,Jeff Foster, PF,2008,Did not make the Playoffs,0.439
1481,Charlotte Bobcats,5450000.0,Matt Carroll, SG,2008,Did not make the Playoffs,0.39
1482,Charlotte Bobcats,5427307.0,Emeka Okafor, C,2008,Did not make the Playoffs,0.39
1483,Sacramento Kings,5356000.0,Mikki Moore, C,2008,Did not make the Playoffs,0.46299999999999997
1484,Cleveland Cavaliers,5356000.0,Anderson Varejao, C,2008,Conf Semifinals,0.5489999999999999
1485,Toronto Raptors,5356000.0,Jason Kapono, SG,2008,Conf First Round,0.5
1486,Cleveland Cavaliers,5205000.0,Joe Smith, PF,2008,Conf Semifinals,0.5489999999999999
1487,Orlando Magic,5200000.0,Tony Battie, C,2008,Conf Semifinals,0.634
1488,New Orleans Hornets,5000000.0,Morris Peterson, SG,2008,Conf Semifinals,0.6829999999999999
1489,Washington Wizards,5000000.0,Brendan Haywood, C,2008,Conf First Round,0.524
1490,Milwaukee Bucks,4991520.0,Andrew Bogut, C,2008,Did not make the Playoffs,0.317
1491,Denver Nuggets,4952380.0,Eduardo Najera, PF,2008,Conf First Round,0.61
1492,Chicago Bulls,4881669.0,Ben Gordon, SG,2008,Did not make the Playoffs,0.402
1493,Toronto Raptors,4838880.0,Andrea Bargnani, C,2008,Conf First Round,0.5
1494,Sacramento Kings,4752000.0,John Salmons, SF,2008,Did not make the Playoffs,0.46299999999999997
1495,Phoenix Suns,4750000.0,Raja Bell, SG,2008,Conf First Round,0.6709999999999999
1496,Portland Trail Blazers,4662000.0,Greg Oden, C,2008,Did not make the Playoffs,0.5
1497,Houston Rockets,4550000.0,Rafer Alston, PG,2008,Conf First Round,0.6709999999999999
1498,Utah Jazz,4500000.0,Kyle Korver, SG,2008,Conf Semifinals,0.659
1499,Boston Celtics,4480912.0,Kendrick Perkins, C,2008,Champion,0.805
1500,Atlanta Hawks,4466040.0,Marvin Williams, PF,2008,Conf First Round,0.451
1501,Los Angeles Clippers,4404629.0,Shaun Livingston, PG,2008,Did not make the Playoffs,0.28
1502,Los Angeles Lakers,4352000.0,Derek Fisher, PG,2008,Finals,0.695
1503,New Jersey Nets,4350000.0,Trenton Hassell, SF,2008,Did not make the Playoffs,0.415
1504,Toronto Raptors,4350000.0,Anthony Parker, SG,2008,Conf First Round,0.5
1505,Portland Trail Blazers,4329360.0,LaMarcus Aldridge, PF,2008,Did not make the Playoffs,0.5
1506,Philadelphia 76ers,4320000.0,Reggie Evans, C,2008,Conf First Round,0.488
1507,Cleveland Cavaliers,4250000.0,Sasha Pavlovic, SG,2008,Conf Semifinals,0.5489999999999999
1508,Portland Trail Blazers,4250000.0,Steve Blake, PG,2008,Did not make the Playoffs,0.5
1509,New Jersey Nets,4236997.0,Keith Van Horn, PF,2008,Did not make the Playoffs,0.415
1510,Cleveland Cavaliers,4172432.0,Damon Jones, PG,2008,Conf Semifinals,0.5489999999999999
1511,Seattle SuperSonics,4171200.0,Kevin Durant, SF,2008,Did not make the Playoffs,0.244
1512,San Antonio Spurs,4125000.0,Bruce Bowen, SF,2008,Conf Finals,0.6829999999999999
1513,Utah Jazz,4010640.0,Deron Williams, PG,2008,Conf Semifinals,0.659
1514,Portland Trail Blazers,4000000.0,Travis Outlaw, SF,2008,Did not make the Playoffs,0.5
1515,Toronto Raptors,4000000.0,Jorge Garbajosa, PF,2008,Conf First Round,0.5
1516,Los Angeles Lakers,4000000.0,Luke Walton, SF,2008,Finals,0.695
1517,Orlando Magic,4000000.0,Carlos Arroyo, PG,2008,Conf Semifinals,0.634
1518,New Jersey Nets,3995003.0,Devin Harris, PG,2008,Did not make the Playoffs,0.415
1519,Phoenix Suns,3966207.0,Marcus Banks, PG,2008,Conf First Round,0.6709999999999999
1520,Washington Wizards,3942000.0,Darius Songaila, PF,2008,Conf First Round,0.524
1521,Charlotte Bobcats,3887880.0,Adam Morrison, SF,2008,Did not make the Playoffs,0.39
1522,Houston Rockets,3840000.0,Bob Sura, PG,2008,Conf First Round,0.6709999999999999
1523,Orlando Magic,3818750.0,Pat Garrity, PF,2008,Conf Semifinals,0.634
1524,Minnesota Timberwolves,3750746.0,Greg Buckner, SG,2008,Did not make the Playoffs,0.268
1525,Atlanta Hawks,3745800.0,Al Horford, C,2008,Conf First Round,0.451
1526,Detroit Pistons,3666667.0,Amir Johnson, C,2008,Conf Finals,0.72
1527,Denver Nuggets,3638600.0,Steven Hunter, C,2008,Conf First Round,0.61
1528,San Antonio Spurs,3630000.0,Robert Horry, PF,2008,Conf Finals,0.6829999999999999
1529,New Orleans Hornets,3615960.0,Chris Paul, PG,2008,Conf Semifinals,0.6829999999999999
1530,Orlando Magic,3596000.0,Keyon Dooling, PG,2008,Conf Semifinals,0.634
1531,Chicago Bulls,3505320.0,Tyrus Thomas, PF,2008,Did not make the Playoffs,0.402
1532,San Antonio Spurs,3500000.0,Fabricio Oberto, C,2008,Conf Finals,0.6829999999999999
1533,Orlando Magic,3500000.0,Brian Cook, PF,2008,Conf Semifinals,0.634
1534,Golden State Warriors,3470771.0,Mickael Pietrus, SF,2008,Did not make the Playoffs,0.585
1535,Philadelphia 76ers,3441900.0,Kevin Ollie, PG,2008,Conf First Round,0.488
1536,Memphis Grizzlies,3377160.0,Mike Conley, PG,2008,Did not make the Playoffs,0.268
1537,Washington Wizards,3348215.0,DeShawn Stevenson, SG,2008,Conf First Round,0.524
1538,Chicago Bulls,3320339.0,Luol Deng, SF,2008,Did not make the Playoffs,0.402
1539,New Orleans Hornets,3315000.0,Rasual Butler, SF,2008,Conf Semifinals,0.6829999999999999
1540,New York Knicks,3300000.0,Fred Jones, SG,2008,Did not make the Playoffs,0.28
1541,Charlotte Bobcats,3274440.0,Raymond Felton, PG,2008,Did not make the Playoffs,0.39
1542,Sacramento Kings,3250000.0,Lorenzen Wright, PF,2008,Did not make the Playoffs,0.46299999999999997
1543,Chicago Bulls,3248000.0,Chris Duhon, PG,2008,Did not make the Playoffs,0.402
1544,Boston Celtics,3206000.0,James Posey, SF,2008,Champion,0.805
1545,Sacramento Kings,3174240.0,Shelden Williams, C,2008,Did not make the Playoffs,0.46299999999999997
1546,Minnesota Timberwolves,3120000.0,Michael Doleac, C,2008,Did not make the Playoffs,0.268
1547,Milwaukee Bucks,3106000.0,Charlie Bell, SG,2008,Did not make the Playoffs,0.317
1548,San Antonio Spurs,3103000.0,Michael Finley, SG,2008,Conf Finals,0.6829999999999999
1549,Orlando Magic,3100000.0,Trevor Ariza, SF,2008,Conf Semifinals,0.634
1550,Philadelphia 76ers,3094000.0,Willie Green, SG,2008,Conf First Round,0.488
1551,Seattle SuperSonics,3058200.0,Jeff Green, SF,2008,Did not make the Playoffs,0.244
1552,Seattle SuperSonics,3000000.0,Francisco Elson, C,2008,Did not make the Playoffs,0.244
1553,Milwaukee Bucks,3000000.0,Jake Voskuhl, C,2008,Did not make the Playoffs,0.317
1554,Denver Nuggets,3000000.0,Chucky Atkins, PG,2008,Conf First Round,0.61
1555,Boston Celtics,3000000.0,Brian Scalabrine, PF,2008,Champion,0.805
1556,Portland Trail Blazers,2974080.0,Martell Webster, SF,2008,Did not make the Playoffs,0.5
1557,Houston Rockets,2916667.0,Luis Scola, F,2008,Conf First Round,0.6709999999999999
1558,Seattle SuperSonics,2900000.0,Damien Wilkins, SG,2008,Did not make the Playoffs,0.244
1559,Portland Trail Blazers,2900000.0,James Jones, SG,2008,Did not make the Playoffs,0.5
1560,Portland Trail Blazers,2883120.0,Brandon Roy, SG,2008,Did not make the Playoffs,0.5
1561,Sacramento Kings,2860000.0,Anthony Johnson, PG,2008,Did not make the Playoffs,0.46299999999999997
1562,Philadelphia 76ers,2804889.0,Andre Iguodala, SG,2008,Conf First Round,0.488
1563,Milwaukee Bucks,2777760.0,Yi Jianlian, SF,2008,Did not make the Playoffs,0.317
1564,Miami Heat,2762500.0,Alonzo Mourning, C,2008,Did not make the Playoffs,0.183
1565,Charlotte Bobcats,2750000.0,Primoz Brezec, C,2008,Did not make the Playoffs,0.39
1566,Milwaukee Bucks,2715000.0,Charlie Villanueva, PF,2008,Did not make the Playoffs,0.317
1567,San Antonio Spurs,2700000.0,Matt Bonner, C,2008,Conf Finals,0.6829999999999999
1568,Golden State Warriors,2636696.0,Andris Biedrins, C,2008,Did not make the Playoffs,0.585
1569,Minnesota Timberwolves,2631840.0,Randy Foye, SG,2008,Did not make the Playoffs,0.268
1570,Seattle SuperSonics,2601113.0,Robert Swift, C,2008,Did not make the Playoffs,0.244
1571,Minnesota Timberwolves,2562426.0,Sebastian Telfair, PG,2008,Did not make the Playoffs,0.268
1572,Toronto Raptors,2550000.0,Juan Dixon, SG,2008,Conf First Round,0.5
1573,Minnesota Timberwolves,2535720.0,Corey Brewer, F,2008,Did not make the Playoffs,0.268
1574,Toronto Raptors,2522913.0,Kris Humphries, PF,2008,Conf First Round,0.5
1575,Los Angeles Lakers,2500000.0,Chris Mihm, C,2008,Finals,0.695
1576,New Jersey Nets,2500000.0,Bostjan Nachbar, SF,2008,Did not make the Playoffs,0.415
1577,Portland Trail Blazers,2487240.0,Channing Frye, F,2008,Did not make the Playoffs,0.5
1578,Minnesota Timberwolves,2480885.0,Al Jefferson, C,2008,Did not make the Playoffs,0.268
1579,Washington Wizards,2479339.0,Andray Blatche, C,2008,Conf First Round,0.524
1580,Toronto Raptors,2471604.0,Jose Calderon, PG,2008,Conf First Round,0.5
1581,Orlando Magic,2440000.0,Keith Bogans, SG,2008,Conf Semifinals,0.634
1582,Houston Rockets,2439333.0,Steve Francis, PG,2008,Conf First Round,0.6709999999999999
1583,Minnesota Timberwolves,2420000.0,Mark Madsen, PF,2008,Did not make the Playoffs,0.268
1584,Memphis Grizzlies,2411160.0,Rudy Gay, SF,2008,Did not make the Playoffs,0.268
1585,Charlotte Bobcats,2376000.0,Othella Harrington, PF,2008,Did not make the Playoffs,0.39
1586,Dallas Mavericks,2369111.0,Devean George, SF,2008,Conf First Round,0.622
1587,Minnesota Timberwolves,2358433.0,Kirk Snyder, SG,2008,Did not make the Playoffs,0.268
1588,Utah Jazz,2350000.0,Jarron Collins, C,2008,Conf Semifinals,0.659
1589,San Antonio Spurs,2350000.0,Jackie Butler, C,2008,Conf Finals,0.6829999999999999
1590,Golden State Warriors,2323080.0,Brandan Wright, F,2008,Did not make the Playoffs,0.585
1591,Utah Jazz,2300000.0,Jason Hart, PG,2008,Conf Semifinals,0.659
1592,Indiana Pacers,2286360.0,Ike Diogu, PF,2008,Did not make the Playoffs,0.439
1593,Houston Rockets,2284200.0,Bonzi Wells, SG,2008,Conf First Round,0.6709999999999999
1594,Detroit Pistons,2250000.0,Lindsey Hunter, SG,2008,Conf Finals,0.72
1595,Atlanta Hawks,2243543.0,Josh Smith, PF,2008,Conf First Round,0.451
1596,Golden State Warriors,2216400.0,Patrick O'Bryant, C,2008,Did not make the Playoffs,0.585
1597,Orlando Magic,2208960.0,D.J. Augustin, PG,2008,Conf Semifinals,0.634
1598,Los Angeles Lakers,2172000.0,Andrew Bynum, C,2008,Finals,0.695
1599,New Jersey Nets,2146000.0,DeSagana Diop, C,2008,Did not make the Playoffs,0.415
1600,Chicago Bulls,2135400.0,Joakim Noah, C,2008,Did not make the Playoffs,0.402
1601,Denver Nuggets,2134067.0,JR Smith, SG,2008,Conf First Round,0.61
1602,Seattle SuperSonics,2105520.0,Mouhamed Sene, C,2008,Did not make the Playoffs,0.244
1603,Miami Heat,2040746.0,Dorell Wright, SF,2008,Did not make the Playoffs,0.183
1604,Sacramento Kings,2028600.0,Spencer Hawes, PF,2008,Did not make the Playoffs,0.46299999999999997
1605,Orlando Magic,2000160.0,JJ Redick, SG,2008,Conf Semifinals,0.634
1606,Orlando Magic,1961609.0,Jameer Nelson, G,2008,Conf Semifinals,0.634
1607,Houston Rockets,1944000.0,Vassilis Spanoulis, PG,2008,Conf First Round,0.6709999999999999
1608,Charlotte Bobcats,1944000.0,Walter Herrmann Heinrich, PF,2008,Did not make the Playoffs,0.39
1609,Chicago Bulls,1928598.0,Victor Khryapa, PF,2008,Did not make the Playoffs,0.402
1610,Atlanta Hawks,1927080.0,Acie Law, PG,2008,Conf First Round,0.451
1611,New Orleans Hornets,1900200.0,Hilton Armstrong, PF,2008,Conf Semifinals,0.6829999999999999
1612,Los Angeles Clippers,1890000.0,Aaron Williams, C,2008,Did not make the Playoffs,0.28
1613,Seattle SuperSonics,1889760.0,Delonte West, SG,2008,Did not make the Playoffs,0.244
1614,New Jersey Nets,1889760.0,Nenad Krstic, C,2008,Did not make the Playoffs,0.415
1615,Toronto Raptors,1868141.0,Carlos Delfino, SG,2008,Conf First Round,0.5
1616,Boston Celtics,1868141.0,Tony Allen, SG,2008,Champion,0.805
1617,Charlotte Bobcats,1862160.0,Sean May, C,2008,Did not make the Playoffs,0.39
1618,Philadelphia 76ers,1830720.0,Thaddeus Young, PF,2008,Conf First Round,0.488
1619,Phoenix Suns,1830000.0,Grant Hill, SF,2008,Conf First Round,0.6709999999999999
1620,New Orleans Hornets,1830000.0,Jannero Pargo, PG,2008,Conf Semifinals,0.6829999999999999
1621,Dallas Mavericks,1830000.0,Eddie Jones, SG,2008,Conf First Round,0.622
1622,Sacramento Kings,1808121.0,Kevin Martin, SG,2008,Did not make the Playoffs,0.46299999999999997
1623,Chicago Bulls,1805160.0,Thabo Sefolosha, SF,2008,Did not make the Playoffs,0.402
1624,Golden State Warriors,1800000.0,Kosta Perovic, C,2008,Did not make the Playoffs,0.585
1625,Minnesota Timberwolves,1769160.0,Rashad McCants, SG,2008,Did not make the Playoffs,0.268
1626,Los Angeles Lakers,1756951.0,Sasha Vujacic, SG,2008,Finals,0.695
1627,New Jersey Nets,1750000.0,David Wesley, SG,2008,Did not make the Playoffs,0.415
1628,Houston Rockets,1750000.0,Chuck Hayes, PF,2008,Conf First Round,0.6709999999999999
1629,Orlando Magic,1740000.0,Maurice Evans, SG,2008,Conf Semifinals,0.634
1630,New Orleans Hornets,1739160.0,Julian Wright, SF,2008,Conf Semifinals,0.6829999999999999
1631,Indiana Pacers,1734316.0,David Harrison, C,2008,Did not make the Playoffs,0.439
1632,Utah Jazz,1715040.0,Ronnie Brewer, SF,2008,Conf Semifinals,0.659
1633,New Jersey Nets,1680600.0,Antoine Wright, SF,2008,Did not make the Playoffs,0.415
1634,Los Angeles Clippers,1652280.0,Al Thornton, SF,2008,Did not make the Playoffs,0.28
1635,Cleveland Cavaliers,1629120.0,Cedric Simmons, SF,2008,Conf Semifinals,0.5489999999999999
1636,Los Angeles Clippers,1600000.0,Brevin Knight, PG,2008,Did not make the Playoffs,0.28
1638,Toronto Raptors,1596600.0,Joey Graham, SF,2008,Conf First Round,0.5
1639,Seattle SuperSonics,1593000.0,Adrian Griffin, SG,2008,Did not make the Playoffs,0.244
1640,Detroit Pistons,1569600.0,Rodney Stuckey, PG,2008,Conf Finals,0.72
1641,Philadelphia 76ers,1547760.0,Rodney Carney, SG,2008,Conf First Round,0.488
1642,Minnesota Timberwolves,1529873.0,Justin Reed, SF,2008,Did not make the Playoffs,0.268
1643,Indiana Pacers,1516800.0,Danny Granger, SF,2008,Did not make the Playoffs,0.439
1644,Indiana Pacers,1500000.0,Travis Diener, PG,2008,Did not make the Playoffs,0.439
1645,Boston Celtics,1500000.0,Eddie House, SG,2008,Champion,0.805
1646,Washington Wizards,1491240.0,Nick Young, G,2008,Conf First Round,0.524
1647,Indiana Pacers,1470360.0,Shawne Williams, SF,2008,Did not make the Playoffs,0.439
1648,Minnesota Timberwolves,1440960.0,Gerald Green, SG,2008,Did not make the Playoffs,0.268
1649,New Jersey Nets,1416600.0,Sean Williams, PF,2008,Did not make the Playoffs,0.415
1650,Memphis Grizzlies,1376040.0,Hakim Warrick, PF,2008,Did not make the Playoffs,0.268
1651,Golden State Warriors,1345800.0,Marco Belinelli, G,2008,Did not make the Playoffs,0.585
1652,Washington Wizards,1345800.0,Oleksiy Pecherov, C,2008,Conf First Round,0.524
1653,Sacramento Kings,1333920.0,Quincy Douby, SG,2008,Did not make the Playoffs,0.46299999999999997
1654,Memphis Grizzlies,1285200.0,Javaris Crittenton, PG,2008,Did not make the Playoffs,0.268
1655,New York Knicks,1280640.0,Renaldo Balkman, SF,2008,Did not make the Playoffs,0.28
1656,Los Angeles Clippers,1276320.0,Alexis Ajinca, C,2008,Did not make the Playoffs,0.28
1657,New York Knicks,1268160.0,Nate Robinson, PG,2008,Did not make the Playoffs,0.28
1658,Philadelphia 76ers,1233840.0,Jason Smith, PF,2008,Conf First Round,0.488
1659,Boston Celtics,1229280.0,Rajon Rondo, PG,2008,Champion,0.805
1660,San Antonio Spurs,1219590.0,Jacque Vaughn, PG,2008,Conf Finals,0.6829999999999999
1661,Orlando Magic,1219590.0,Adonal Foyle, C,2008,Conf Semifinals,0.634
1662,Portland Trail Blazers,1217400.0,Jarrett Jack, G,2008,Did not make the Playoffs,0.5
1663,Detroit Pistons,1200000.0,Jarvis Hayes, SF,2008,Conf Finals,0.72
1664,Cleveland Cavaliers,1200000.0,Devin Brown, SG,2008,Conf Semifinals,0.5489999999999999
1665,Miami Heat,1184400.0,Daequan Cook, SG,2008,Did not make the Playoffs,0.183
1666,New Jersey Nets,1180200.0,Marcus Williams, PG,2008,Did not make the Playoffs,0.415
1667,Sacramento Kings,1168800.0,Francisco Garcia, SG,2008,Did not make the Playoffs,0.46299999999999997
1668,Charlotte Bobcats,1137000.0,Jared Dudley, SF,2008,Did not make the Playoffs,0.39
1669,New Jersey Nets,1133040.0,Josh Boone, C,2008,Did not make the Playoffs,0.415
1670,Philadelphia 76ers,1130000.0,Shavlik Randolph, PF,2008,Conf First Round,0.488
1671,Houston Rockets,1122000.0,Luther Head, PG,2008,Conf First Round,0.6709999999999999
1672,Philadelphia 76ers,1103225.0,Calvin Booth, C,2008,Conf First Round,0.488
1673,Utah Jazz,1100000.0,Ronnie Price, PG,2008,Conf Semifinals,0.659
1674,New York Knicks,1091640.0,Wilson Chandler, SF,2008,Did not make the Playoffs,0.28
1675,Memphis Grizzlies,1087680.0,Kyle Lowry, PG,2008,Did not make the Playoffs,0.268
1678,Seattle SuperSonics,1077120.0,Johan Petro, C,2008,Did not make the Playoffs,0.244
1679,Cleveland Cavaliers,1044120.0,Shannon Brown, PG,2008,Conf Semifinals,0.5489999999999999
1680,Detroit Pistons,1041360.0,Jason Maxiell, PF,2008,Conf Finals,0.72
1681,Denver Nuggets,1011360.0,Linas Kleiza, SF,2008,Conf First Round,0.61
1682,Los Angeles Lakers,1009560.0,Jordan Farmar, PG,2008,Finals,0.695
1683,Utah Jazz,1005960.0,Morris Almond, SG,2008,Conf Semifinals,0.659
1684,San Antonio Spurs,1000000.0,Ime Udoka, SG,2008,Conf Finals,0.6829999999999999
1685,Miami Heat,997800.0,Wayne Simien, PF,2008,Did not make the Playoffs,0.183
1686,New York Knicks,990600.0,David Lee, PF,2008,Did not make the Playoffs,0.28
1687,New Jersey Nets,974400.0,Maurice Ager, SF,2008,Did not make the Playoffs,0.415
1688,Miami Heat,973328.0,Earl Barron, C,2008,Did not make the Playoffs,0.183
1689,Houston Rockets,972720.0,Aaron Brooks, G,2008,Conf First Round,0.6709999999999999
1690,New York Knicks,967320.0,Mardy Collins, PG,2008,Did not make the Playoffs,0.28
1691,Utah Jazz,945610.0,CJ Miles, SF,2008,Conf Semifinals,0.659
1692,Washington Wizards,945610.0,Donell Taylor, PG,2008,Conf First Round,0.524
1693,Detroit Pistons,944520.0,Arron Afflalo, G,2008,Conf Finals,0.72
1694,Phoenix Suns,931920.0,Alando Tucker, SF,2008,Conf First Round,0.6709999999999999
1695,New Orleans Hornets,895341.0,Melvin Ely, C,2008,Conf Semifinals,0.6829999999999999
1696,New Orleans Hornets,885294.0,Chris Andersen, PF,2008,Conf Semifinals,0.6829999999999999
1697,Washington Wizards,862456.0,Mike Hall, F,2008,Conf First Round,0.524
1698,Sacramento Kings,862456.0,Justin Williams, PF,2008,Did not make the Playoffs,0.46299999999999997
1700,Los Angeles Clippers,826046.0,Quinton Ross, SF,2008,Did not make the Playoffs,0.28
1701,Portland Trail Blazers,817000.0,Sergio Rodriguez, PG,2008,Did not make the Playoffs,0.5
1702,New York Knicks,810000.0,Randolph Morris, C,2008,Did not make the Playoffs,0.28
1703,Seattle SuperSonics,802000.0,Mickael Gelabale, SF,2008,Did not make the Playoffs,0.244
1704,Los Angeles Clippers,800000.0,Josh Powell, PF,2008,Did not make the Playoffs,0.28
1705,Atlanta Hawks,783000.0,Salim Stoudamire, SG,2008,Conf First Round,0.451
1706,Indiana Pacers,770610.0,Kareem Rush, SG,2008,Did not make the Playoffs,0.439
1707,Los Angeles Clippers,770610.0,Daniel Ewing, PG,2008,Did not make the Playoffs,0.28
1708,Los Angeles Clippers,770610.0,Ruben Patterson, PF,2008,Did not make the Playoffs,0.28
1709,Dallas Mavericks,770610.0,Brandon Bass, PF,2008,Conf First Round,0.622
1710,Charlotte Bobcats,770610.0,Derek Anderson, SG,2008,Did not make the Playoffs,0.39
1711,Charlotte Bobcats,770610.0,Jeff McInnis, PG,2008,Did not make the Playoffs,0.39
1712,Phoenix Suns,770610.0,Sean Marks, PF,2008,Conf First Round,0.6709999999999999
1713,Memphis Grizzlies,770610.0,Casey Jacobsen, SG,2008,Did not make the Playoffs,0.268
1714,Phoenix Suns,770610.0,Brian Skinner, PF,2008,Conf First Round,0.6709999999999999
1715,Portland Trail Blazers,770610.0,Von Wafer, SG,2008,Did not make the Playoffs,0.5
1716,Boston Celtics,770610.0,Scot Pollard, C,2008,Champion,0.805
1717,Dallas Mavericks,761544.0,Juwan Howard, PF,2008,Conf First Round,0.622
1718,Utah Jazz,750000.0,Kyrylo Fesenko, C,2008,Conf Semifinals,0.659
1719,Atlanta Hawks,729000.0,Solomon Jones, PF,2008,Conf First Round,0.451
1720,Seattle SuperSonics,693549.0,Eddie Gill, PG,2008,Did not make the Playoffs,0.244
1721,Minnesota Timberwolves,687456.0,Craig Smith, PF,2008,Did not make the Playoffs,0.268
1722,Charlotte Bobcats,687456.0,Ryan Hollins, C,2008,Did not make the Playoffs,0.39
1723,Denver Nuggets,687456.0,Yakhouba Diawara, SG,2008,Conf First Round,0.61
1724,Boston Celtics,687456.0,Leon Powe, PF,2008,Champion,0.805
1725,Los Angeles Clippers,687456.0,Paul Davis, C,2008,Did not make the Playoffs,0.28
1726,Los Angeles Lakers,687456.0,Devin Green, SG,2008,Finals,0.695
1727,Golden State Warriors,687456.0,Kelenna Azubuike, SF,2008,Did not make the Playoffs,0.585
1728,Boston Celtics,650000.0,Gabe Pruitt, PG,2008,Champion,0.805
1729,Denver Nuggets,634620.0,Jelani McCoy, PF,2008,Conf First Round,0.61
1730,San Antonio Spurs,625840.0,Ian Mahinmi, C,2008,Conf Finals,0.6829999999999999
1731,Sacramento Kings,584757.0,Dahntay Jones, SG,2008,Did not make the Playoffs,0.46299999999999997
1732,Los Angeles Clippers,566625.0,Richie Frahm, SG,2008,Did not make the Playoffs,0.28
1733,Sacramento Kings,561544.0,Beno Udrih, PG,2008,Did not make the Playoffs,0.46299999999999997
1734,Memphis Grizzlies,538090.0,Juan Carlos Navarro, PG,2008,Did not make the Playoffs,0.268
1735,Orlando Magic,427163.0,Marcin Gortat, C,2008,Conf Semifinals,0.634
1736,Boston Celtics,427163.0,Glen Davis, PF,2008,Champion,0.805
1737,Chicago Bulls,427163.0,JamesOn Curry, PG,2008,Did not make the Playoffs,0.402
1738,Portland Trail Blazers,427163.0,Josh McRoberts, PF,2008,Did not make the Playoffs,0.5
1739,Los Angeles Lakers,427163.0,Coby Karl, PG,2008,Finals,0.695
1740,Toronto Raptors,427163.0,Jamario Moon, SF,2008,Conf First Round,0.5
1741,Washington Wizards,427163.0,Dominic McGuire, PF,2008,Conf First Round,0.524
1742,Cleveland Cavaliers,427163.0,Demetris Nichols, SF,2008,Conf Semifinals,0.5489999999999999
1743,Milwaukee Bucks,427163.0,Ramon Sessions, G,2008,Did not make the Playoffs,0.317
1746,Minnesota Timberwolves,427163.0,Chris Richard, PF,2008,Did not make the Playoffs,0.268
1747,Boston Celtics,427163.0,Brandon Wallace, NA,2008,Champion,0.805
1748,Golden State Warriors,358107.0,Chris Webber, C,2008,Did not make the Playoffs,0.585
1749,Charlotte Bobcats,349041.0,Earl Boykins, PG,2008,Did not make the Playoffs,0.39
1750,Memphis Grizzlies,335442.0,Damon Stoudamire, PG,2008,Did not make the Playoffs,0.268
1751,Indiana Pacers,319116.0,Courtney Sims, C,2008,Did not make the Playoffs,0.439
1752,San Antonio Spurs,278912.0,Keith Langford, SG,2008,Conf Finals,0.6829999999999999
1753,Golden State Warriors,251272.0,C.J. Watson, PG,2008,Did not make the Playoffs,0.585
1754,Memphis Grizzlies,238588.0,Jeremy Richardson, SG,2008,Did not make the Playoffs,0.268
1755,New Jersey Nets,231183.0,Jamaal Magloire, C,2008,Did not make the Playoffs,0.415
1756,Boston Celtics,226650.0,P.J. Brown, PF,2008,Champion,0.805
1757,Indiana Pacers,213051.0,Ronald Murray, SG,2008,Did not make the Playoffs,0.439
1758,Utah Jazz,199452.0,Gordan Giricek, SG,2008,Conf Semifinals,0.659
1759,Minnesota Timberwolves,199452.0,Theo Ratliff, C,2008,Did not make the Playoffs,0.268
1760,Sacramento Kings,199452.0,Tyronn Lue, PG,2008,Did not make the Playoffs,0.46299999999999997
1761,Miami Heat,181320.0,Smush Parker, PG,2008,Did not make the Playoffs,0.183
1762,San Antonio Spurs,172177.0,Brent Barry, SG,2008,Conf Finals,0.6829999999999999
1763,Houston Rockets,142201.0,Loren Woods, C,2008,Conf First Round,0.6709999999999999
1764,Los Angeles Clippers,125636.0,Nick Fazekas, PF,2008,Did not make the Playoffs,0.28
1765,Seattle SuperSonics,122391.0,Ira Newble, SF,2008,Did not make the Playoffs,0.244
1766,Houston Rockets,100509.0,Mike Harris, SF,2008,Conf First Round,0.6709999999999999
1767,Los Angeles Lakers,90660.0,Didier Ilunga-Mbenga, C,2008,Finals,0.695
1768,Cleveland Cavaliers,87945.0,Lance Allred, C,2008,Conf Semifinals,0.5489999999999999
1769,Miami Heat,67844.0,Blake Ahearn, G,2008,Did not make the Playoffs,0.183
1770,Miami Heat,67844.0,Stephane Lasme, PF,2008,Did not make the Playoffs,0.183
1771,Seattle SuperSonics,63462.0,Ronald Dupree, SF,2008,Did not make the Playoffs,0.244
1772,San Antonio Spurs,50254.0,Marcus Williams, SG,2008,Conf Finals,0.6829999999999999
